TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
197.88,6.71,988.4405279159546,1.31686,10.3168,11.6862633036,3.73169,0.457709,2.24089,86,35.7669,24.735,10.3904,2048,11.372586250305176,46.9
120.98,2.25,999.582277059555,1.31658,5.78202,7.93506734376,3.73066,0.326511,2.21137,87,12.6952,15.1225,5.83388,2048,11.1346275806427,28.51
170.81,12.05,1011.0912873744965,1.31132,8.26837,5.76380611554,3.71108,0.422353,2.82192,88,16.0358,21.35125,8.3036,2048,11.501582860946655,31.66
199.39,16.47,1022.9798913002014,1.30076,10.2894,8.32367397472,3.67208,0.41326,1.90078,89,26.0632,24.92375,10.3544,2048,11.88058066368103,41.87
165.19,7.59,1034.2685058116913,1.28302,6.46973,11.3341248422,3.60754,0.269581,1.9974,90,17.779,20.64875,6.51557,2048,11.281426191329956,45.87
177.57,7.18,1045.2318513393402,1.30058,8.80147,8.45291212763,3.67141,0.252964,1.63384,91,28.5129,22.19625,8.85128,2048,10.956037759780884,32.92
214.13,16.75,1057.4890494346619,1.32249,10.4826,9.14966794138,3.75275,0.315543,2.80745,92,29.5257,26.76625,10.5518,2048,12.249425172805786,45.96
118.06,6.16,1069.3938992023468,1.32087,5.13035,5.39078554109,3.74668,0.345625,2.01651,93,8.81367,14.7575,5.17405,2048,11.897545099258423,22.84
186.26,7.01,1081.396987915039,1.33767,9.04204,12.4340628416,3.81017,0.388563,2.3003,94,31.4813,23.2825,9.0805,2048,11.994538068771362,46.75
165.11,1.21,1093.6701502799988,1.32318,6.77996,17.8335466449,3.75536,0.548018,2.58218,95,15.8648,20.63875,6.85256,2048,12.266122102737427,47.14
235.54,11.56,1104.6422431468964,1.31329,11.2501,9.64835964037,3.71837,0.39722,2.06034,96,35.7823,29.4425,11.323,2048,10.964972734451294,42.2
145.34,11.73,1116.0040991306305,1.31912,6.63889,4.22258140833,3.74011,0.344792,1.96531,97,12.9524,18.1675,6.67563,2048,11.35452938079834,22.32
199.79,12.21,1127.3181879520416,1.33666,11.6611,13.7591750638,3.80629,0.513385,2.16626,98,34.6964,24.97375,11.7585,2048,11.306852102279663,56.69
167.87,7.95,1138.5661089420319,1.31813,8.9268,7.38379465028,3.73643,0.476446,3.12787,99,25.2834,20.98375,9.01088,2048,11.240601539611816,31.58
179.51,7.48,1151.0563204288483,1.30339,8.70124,8.68021232099,3.68177,0.356078,2.74876,100,25.5327,22.43875,8.74411,2048,12.48369836807251,37.67
158.31,6.81,1162.0857346057892,1.30653,7.55038,11.5484700691,3.69334,0.324979,2.15686,101,25.6206,19.78875,7.58283,2048,11.022432804107666,38.13
174.29,6.16,1173.3617129325867,1.305,7.97935,12.5279237481,3.68769,0.307218,2.04367,102,29.1328,21.78625,8.0269,2048,11.268665790557861,46.72
217.11,6.17,1185.3479516506195,1.29141,9.90363,13.6436381122,3.63791,0.446134,2.23997,103,26.3199,27.13875,9.96166,2048,11.979219913482666,43.37
148.92,7.73,1196.6429414749146,1.30247,7.28275,9.06176583233,3.67836,0.31798,2.24812,104,21.2066,18.615,7.31852,2048,11.287606000900269,36.78
157.99,2.82,1208.33993601799,1.3062,6.69239,10.3928454206,3.6921,0.336433,2.44461,105,23.847,19.74875,6.73113,2048,11.689080476760864,32.73
156.98,7.11,1221.2001795768738,1.31591,6.99617,9.291328955,3.72813,0.324132,1.94884,106,21.4599,19.6225,7.03039,2048,12.852964639663696,37.67
157.44,7.08,1232.547863483429,1.30638,7.03836,7.30255605935,3.69277,0.345213,1.78527,107,22.8538,19.68,7.07397,2048,11.34053659439087,31.52
176.18,2.9,1244.2117159366608,1.30192,7.92393,13.4058893308,3.67634,0.444175,3.00632,108,25.9472,22.0225,7.98994,2048,11.65684962272644,41.21
202.75,6.86,1255.4636743068695,1.29997,7.34345,12.190209122,3.66918,0.270434,2.1769,109,22.0131,25.34375,7.3798,2048,11.244948387145996,42.31
157.15,6.59,1266.2798261642456,1.32684,6.58598,9.49412309998,3.76911,0.523051,2.30525,110,15.7686,19.64375,6.62781,2048,10.80896782875061,36.34
138.62,6.65,1278.4165551662445,1.32763,7.04013,9.30317116633,3.77208,0.42535,2.24454,111,17.4956,17.3275,7.09188,2048,12.129715204238892,32.09
